event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,74,74,1871592,1958501,1871592,,30,1000,0,0,3
2,49,119,3255873,3263624,2571883,,5,1002,2,4,14
3,52,171,2007829,2022873,1699772,,1,1005,0,0,9
4,88,255,868960,875223,990817,,24,1012,2,4,8
5,49,300,3084503,3097522,1002802,,0,1014,2,4,7
6,73,369,3727556,3741786,1384793,,0,1019,2,4,5
7,65,426,1437068,1438733,1080489,,0,1022,3,8,23
8,41,459,6153525,6159204,1877092,,8,1023,3,8,11
9,96,551,412864,415985,1041827,,14,1029,2,4,18
10,59,610,7516660,7531677,1435502,,4,1032,1,0,2
11,39,649,2016782,2043087,1062474,,4,1039,0,0,6
12,53,694,8307052,8309149,2239106,,30,1039,3,8,12
13,50,744,3274038,3307889,2099601,,30,1042,0,0,7
14,60,796,3588960,3590323,2383507,,6,1035,4,8,9
15,40,836,2702547,2742398,2163857,,6,1037,0,0,6
16,68,900,358616,359642,1418349,,0,1038,3,4,0
17,63,955,1113135,1117817,1282379,,71,1043,3,8,1
18,62,1017,305222,312363,825939,,72,1049,1,0,12
19,39,1056,4810399,4845755,872453,,50,1055,1,0,17
20,74,1126,2714179,2725328,1013225,,26,1058,2,4,19
21,52,1178,3833187,3843886,1071411,40.0,100,1061,1,0,11
22,58,1236,2863408,2889501,1040194,30.0,0,1050,0,0,17
23,106,1342,32078,32841,493332,1.0,0,1052,0,0,11
24,71,1409,3357742,3360916,530828,35.0,1,1057,3,4,0
25,85,1494,2099922,2117543,483144,20.0,1,1056,0,0,4
26,51,1541,4082029,4088087,555681,40.0,27,1055,3,4,0
27,76,1605,2281668,2282514,670124,25.0,3,1054,4,12,22
28,59,1656,1674754,1678848,675596,20.0,20,1058,3,8,3
29,16,1664,3237785,3246093,782078,35.0,8,1061,3,8,0
30,58,1714,2773087,2776480,866563,30.0,15,1059,3,8,23
31,66,1772,1864579,1866973,886757,20.0,14,1056,3,8,2
32,64,1836,2911105,2931806,857346,30.0,18,1059,1,0,2
33,63,1895,4518276,4527358,1018514,45.0,11,1060,2,4,0
34,75,1946,5581216,5581276,1549060,55.0,3,1057,7,24,0
35,57,1975,4154385,4154451,2016274,40.0,37,1056,8,28,2
36,77,2040,4415461,4415900,2176476,45.0,0,1057,4,12,1
37,100,2132,2919691,2923110,2268035,30.0,13,1065,3,8,19
38,68,2192,2347523,2349341,2297248,25.0,2,1067,3,8,21
