,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,232,50,211,69,2237248,38,2024-05-14T17:13:54.936906Z
1,60,89,415,82,2237248,38,2024-05-14T17:13:54.935856Z
2,26,65,120,42,2237248,38,2024-05-14T17:13:54.926831Z
3,511,51,387,42,2237248,37,2024-05-06T19:55:03.471898Z
4,687,46,77,47,2237248,37,2024-05-05T14:44:48.081167Z
5,211,69,60,90,2237248,37,2024-05-05T14:44:48.074707Z
6,120,42,373,84,2237248,36,2024-05-02T14:40:59.086975Z
7,355,141,85,71,2237248,36,2024-05-02T14:40:59.083449Z
8,349,104,308,134,2237248,36,2024-04-27T15:18:37.173596Z
9,60,90,232,51,2237248,36,2024-04-27T15:18:37.159995Z
10,387,42,83,44,2237248,35,2024-04-26T13:24:23.271884Z
11,506,58,563,45,2237248,35,2024-04-26T13:24:23.265784Z
12,516,98,19,87,2237248,35,2024-04-25T17:52:26.249284Z
13,415,81,355,140,2237248,35,2024-04-25T12:57:52.105279Z
14,373,83,303,78,2237248,35,2024-04-22T01:30:25.187540Z
15,353,82,6,73,2237248,35,2024-04-22T01:30:25.187102Z
16,29,60,234,45,2237248,35,2024-04-22T01:30:25.186640Z
17,232,51,293,77,2237248,35,2024-04-22T01:30:25.183161Z
18,234,45,114,44,2237248,34,2024-04-17T16:34:22.510218Z
19,303,78,353,81,2237248,34,2024-04-17T16:34:22.504726Z
20,409,42,361,37,2237248,34,2024-04-15T21:26:09.990819Z
21,407,45,419,38,2237248,34,2024-04-14T15:41:08.316285Z
22,77,47,301,38,2237248,34,2024-04-14T15:41:08.315908Z
23,563,45,203,42,2237248,34,2024-04-14T15:41:08.315404Z
24,83,44,506,58,2237248,34,2024-04-14T15:41:08.311100Z
25,6,73,516,98,2237248,33,2024-04-07T22:18:44.365121Z
26,293,77,82,45,2237248,33,2024-04-07T22:18:44.360002Z
27,361,37,409,41,2237248,32,2024-04-05T13:17:38.182932Z
28,82,45,60,87,2237248,31,2024-03-31T17:36:05.503043Z
29,308,132,526,78,2237248,31,2024-03-31T17:36:05.496104Z
30,419,39,511,50,2237248,31,2024-03-30T17:32:49.618427Z
31,301,38,524,41,2237248,30,2024-03-24T15:18:22.909060Z
32,362,57,43,57,2237248,30,2024-03-16T16:59:06.811618Z
33,203,42,321,46,2237248,30,2024-03-16T16:59:06.807997Z
34,43,57,412,61,2237248,29,2024-03-15T14:25:57.409288Z
35,114,44,83,46,2237248,29,2024-03-10T16:05:48.886216Z
36,506,57,316,39,2237248,29,2024-03-10T16:05:48.880960Z
37,511,50,430,67,2237248,28,2024-03-07T14:24:03.802995Z
38,83,46,387,42,2237248,28,2024-03-03T02:07:13.909408Z
39,321,46,131,50,2237248,28,2024-03-03T02:07:13.902874Z
40,526,77,509,70,2237248,27,2024-02-27T00:23:22.599855Z
41,516,96,349,105,2237248,27,2024-02-27T00:23:22.596759Z
42,5,52,506,53,2237248,27,2024-02-25T17:45:53.276574Z
43,85,70,33,43,2237248,27,2024-02-24T17:07:57.518569Z
44,33,43,135,53,2237248,26,2024-02-17T17:27:42.537516Z
45,387,42,298,45,2237248,26,2024-02-17T17:26:44.753985Z
46,412,61,303,74,2237248,26,2024-02-17T16:24:08.057409Z
47,298,45,260,46,2237248,24,2024-02-06T19:21:58.995473Z
48,316,39,31,52,2237248,24,2024-02-06T19:21:58.994944Z
49,303,74,412,61,2237248,24,2024-02-06T19:21:58.987642Z
50,260,46,473,38,2237248,22,2024-01-26T04:19:03.489286Z
51,473,38,260,46,2237248,22,2024-01-26T04:13:24.633746Z
52,430,67,203,41,2237248,22,2024-01-26T04:13:24.633496Z
53,135,55,415,76,2237248,22,2024-01-26T04:13:24.633173Z
54,260,46,150,40,2237248,22,2024-01-22T05:38:24.680189Z
55,31,52,313,63,2237248,22,2024-01-22T05:38:24.679831Z
56,313,63,31,52,2237248,22,2024-01-22T05:15:59.085678Z
57,150,40,5,49,2237248,22,2024-01-22T05:15:59.085374Z
58,31,52,260,45,2237248,22,2024-01-21T19:22:24.422409Z
59,131,51,150,40,2237248,22,2024-01-21T19:22:24.421977Z
60,415,76,85,69,2237248,22,2024-01-21T19:22:24.421541Z
61,509,70,43,55,2237248,22,2024-01-21T19:22:24.421095Z
62,412,61,526,78,2237248,22,2024-01-21T19:22:24.420643Z
63,353,80,14,84,2237248,22,2024-01-21T19:22:24.420107Z
64,355,139,343,69,2237248,22,2024-01-21T19:22:24.413127Z
65,349,103,516,94,2237248,22,2024-01-13T17:01:16.020155Z
66,43,55,308,129,2237248,21,2024-01-02T02:57:00.358663Z
67,203,41,419,41,2237248,20,2023-12-29T02:29:55.478423Z
68,14,84,412,60,2237248,20,2023-12-29T02:29:55.470228Z
69,343,68,82,46,2237248,19,2023-12-25T11:53:20.660889Z
70,85,68,343,69,2237248,18,2023-12-21T15:32:12.899288Z
71,343,69,355,140,2237248,17,2023-12-12T01:54:52.031111Z
72,60,84,293,76,2237248,17,2023-12-09T14:32:06.234629Z
73,150,40,36,48,2237248,17,2023-12-09T14:32:06.225886Z
74,82,46,13,56,2237248,16,2023-12-07T19:38:19.241821Z
75,526,76,43,55,2237248,16,2023-12-07T19:38:19.235328Z
76,409,40,145,45,2237248,16,2023-12-06T15:41:52.705805Z
77,293,76,60,82,2237248,14,2023-12-01T19:42:50.403763Z
78,260,44,430,68,2237248,14,2023-11-25T16:50:55.783178Z
79,355,140,343,68,2237248,14,2023-11-25T16:50:55.772223Z
80,412,58,526,76,2237248,14,2023-11-25T16:45:09.518117Z
81,526,75,504,78,2237248,12,2023-11-10T17:03:07.074361Z
82,419,40,405,45,2237248,12,2023-11-10T13:17:14.436411Z
83,13,56,415,74,2237248,12,2023-11-06T18:25:44.595022Z
84,230,46,352,55,2237248,11,2023-11-04T02:53:53.108854Z
85,526,74,143,65,2237248,11,2023-11-04T02:53:53.108287Z
86,352,55,28,41,2237248,11,2023-11-04T02:20:53.179362Z
87,116,39,524,41,2237248,11,2023-11-04T02:20:53.179109Z
88,143,65,353,75,2237248,11,2023-11-04T02:20:53.178807Z
89,178,39,419,40,2237248,11,2023-11-04T02:09:02.164726Z
90,360,44,43,55,2237248,11,2023-11-04T02:09:02.164482Z
91,353,75,143,65,2237248,11,2023-11-04T02:09:02.164140Z
92,557,55,504,78,2237248,11,2023-10-31T18:09:23.279731Z
93,143,65,19,85,2237248,11,2023-10-31T18:09:23.279463Z
94,28,41,145,45,2237248,11,2023-10-31T18:09:23.279131Z
95,369,53,405,45,2237248,11,2023-10-31T18:09:23.278808Z
96,419,40,506,50,2237248,11,2023-10-31T18:09:23.278274Z
97,311,46,5,48,2237248,11,2023-10-31T18:09:23.277857Z
98,293,75,343,68,2237248,11,2023-10-31T18:09:23.277397Z
99,355,140,415,74,2237248,11,2023-10-31T18:09:23.276930Z
100,220,50,430,68,2237248,11,2023-10-31T18:09:23.276400Z
101,19,85,353,75,2237248,10,2023-10-23T20:27:56.738766Z
102,308,126,108,67,2237248,9,2023-10-09T22:49:23.286909Z
103,415,75,355,140,2237248,9,2023-10-09T22:49:23.280756Z
104,36,49,131,51,2237248,8,2023-10-05T14:09:40.429785Z
105,43,54,19,85,2237248,8,2023-10-05T14:09:40.429355Z
106,60,80,326,55,2237248,8,2023-10-05T14:09:40.421477Z
107,516,92,396,89,2237248,7,2023-09-28T04:04:42.293809Z
108,326,55,8,79,2237248,7,2023-09-28T04:04:42.292669Z
109,430,66,103,45,2237248,7,2023-09-28T04:04:42.282868Z
110,405,45,195,57,2237248,6,2023-09-17T13:19:25.544784Z
111,396,89,303,77,2237248,6,2023-09-17T13:19:25.532248Z
112,303,77,216,71,2237248,5,2023-09-05T02:44:25.314883Z
113,8,79,119,61,2237248,5,2023-09-05T02:44:25.308472Z
114,216,71,396,90,2237248,4,2023-08-27T19:05:03.413408Z
115,504,76,12,80,2237248,4,2023-08-27T19:05:03.406243Z
116,5,49,20,51,2237248,3,2023-08-24T23:10:26.102846Z
117,119,61,82,45,2237248,3,2023-08-24T23:10:26.102652Z
118,108,67,516,90,2237248,3,2023-08-24T23:10:26.102450Z
119,506,49,511,45,2237248,3,2023-08-24T23:10:26.102253Z
120,195,57,611,50,2237248,3,2023-08-24T23:10:26.102021Z
121,611,50,195,57,2237248,3,2023-08-22T14:32:12.235427Z
122,516,90,504,76,2237248,3,2023-08-22T14:32:12.235178Z
123,195,57,341,50,2237248,3,2023-08-20T16:59:07.606936Z
124,343,65,60,80,2237248,3,2023-08-20T16:59:07.606531Z
