event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,83,83,353784,358499,353784,,0,1000,0,0,3
2,40,123,5753400,5755835,1829113,,0,1004,0,0,10
3,52,175,2092273,2094497,1271741,,13,1006,1,0,21
4,73,248,4888836,4893562,1529037,,9,1009,1,0,8
5,31,279,9330066,9332339,2978704,,2,1008,1,0,2
6,84,363,1312184,1313136,1812748,,3,1004,2,0,7
7,59,422,2335408,2336480,1278183,,0,1009,1,0,1
8,34,456,8308510,8309411,2048557,,0,1009,1,0,6
9,83,539,1797054,1799333,1559119,,0,1012,0,0,2
10,75,614,2369338,2370732,1216768,,1,1005,0,0,3
11,24,638,8124021,8126251,1524923,,1,1013,0,0,11
12,80,718,1301515,1303336,1113301,,7,1015,1,0,16
13,52,770,2772455,2774789,968972,,3,1019,1,0,3
14,49,819,7350108,7351152,1331075,,16,1022,2,0,8
15,29,848,8002258,8005817,1595136,,23,1022,1,0,0
16,41,885,5156322,5157458,1974208,,17,1024,2,4,2
17,65,950,787846,789375,1418087,,72,1025,1,0,4
18,50,996,1810708,1811891,1348128,,69,1026,2,4,19
19,39,1031,4902373,4903850,1516270,,33,1028,2,4,10
20,71,1102,3136663,3137709,1580736,,33,1032,0,0,10
21,66,1168,1232561,1233700,1271233,15.0,105,1030,2,0,4
22,49,1217,5189201,5191074,1425665,50.0,105,1033,0,0,4
23,72,1289,2334231,2335748,1338383,25.0,7,1032,1,0,2
24,80,1369,1371843,1373181,1099300,15.0,0,1035,2,0,2
25,85,1450,2254429,2256193,1047369,25.0,21,1029,2,4,15
26,58,1508,2350947,2352489,974189,25.0,22,1033,1,0,1
27,80,1588,1411246,1413460,876572,15.0,7,1038,1,0,8
28,58,1642,1808181,1809713,833870,20.0,23,1039,2,4,5
29,15,1657,3276052,3287739,861553,35.0,23,1039,0,0,17
30,75,1732,208832,209165,661133,5.0,21,1037,1,0,5
31,66,1798,1737221,1738476,602998,20.0,4,1029,0,0,1
32,74,1872,814282,815691,497100,10.0,4,1036,0,0,15
33,72,1944,2762248,2763839,505551,30.0,3,1040,1,0,7
34,95,2039,2468166,2468608,501922,25.0,1,1044,1,0,2
35,86,2121,189963,190239,396056,5.0,17,1043,3,4,16
36,104,2225,382800,383546,315590,5.0,14,1044,1,0,7
37,150,2371,21820,22071,215698,1.0,4,1044,2,4,0
38,60,2431,3747287,3749774,241880,35.0,10,1045,1,0,0
