,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,236,57,412,63,158191,38,2024-05-18T22:52:52.828732Z
1,353,84,303,75,158191,37,2024-05-10T15:18:47.557577Z
2,211,70,85,69,158191,37,2024-05-10T15:14:12.586139Z
3,616,50,545,47,158191,36,2024-05-03T11:55:23.916819Z
4,412,62,570,47,158191,35,2024-04-26T23:00:09.663184Z
5,516,98,308,134,158191,35,2024-04-26T22:51:31.287493Z
6,415,81,293,76,158191,35,2024-04-26T22:51:31.281015Z
7,83,44,245,42,158191,34,2024-04-20T04:26:56.051483Z
8,263,47,687,46,158191,33,2024-04-13T00:38:08.469473Z
9,687,46,77,47,158191,31,2024-04-02T03:07:48.605090Z
10,77,47,687,46,158191,31,2024-04-02T03:06:42.051695Z
11,687,46,77,47,158191,31,2024-04-02T02:51:33.767635Z
12,570,47,382,49,158191,31,2024-04-02T00:05:05.642240Z
13,293,75,279,47,158191,31,2024-04-02T00:03:43.565102Z
14,29,58,10,44,158191,31,2024-04-02T00:03:43.564816Z
15,382,49,516,98,158191,31,2024-04-02T00:03:43.564565Z
16,77,47,301,38,158191,31,2024-04-02T00:03:43.564246Z
17,203,43,89,44,158191,31,2024-04-01T23:27:42.520246Z
18,545,46,342,51,158191,31,2024-04-01T23:23:11.761313Z
19,245,42,321,47,158191,31,2024-04-01T23:23:11.761042Z
20,10,44,48,45,158191,31,2024-04-01T23:23:11.760728Z
21,301,38,524,42,158191,31,2024-04-01T23:23:11.760493Z
22,303,75,353,80,158191,31,2024-04-01T23:23:11.760247Z
23,308,133,557,54,158191,31,2024-04-01T23:23:11.759940Z
24,279,47,60,87,158191,31,2024-04-01T23:23:11.759601Z
25,362,58,567,56,158191,30,2024-03-28T22:04:41.118405Z
26,378,51,447,57,158191,29,2024-03-15T21:34:05.456753Z
27,447,57,43,57,158191,29,2024-03-15T16:01:21.801422Z
28,508,44,96,45,158191,29,2024-03-15T15:49:54.356319Z
29,96,45,508,44,158191,29,2024-03-15T15:35:26.234578Z
30,508,44,96,45,158191,29,2024-03-15T15:32:49.598772Z
31,689,68,539,60,158191,29,2024-03-14T20:54:52.754356Z
32,43,57,34,57,158191,29,2024-03-14T02:34:40.411803Z
33,539,60,689,68,158191,29,2024-03-14T02:34:40.411515Z
34,283,45,711,45,158191,29,2024-03-14T02:34:40.411217Z
35,326,52,279,45,158191,29,2024-03-11T21:25:02.014034Z
36,279,45,85,70,158191,29,2024-03-11T21:17:07.848472Z
37,711,45,48,45,158191,29,2024-03-09T13:56:07.070524Z
38,101,45,409,41,158191,29,2024-03-09T13:56:07.070294Z
39,96,45,342,51,158191,29,2024-03-09T13:56:07.070050Z
40,506,57,5,50,158191,29,2024-03-09T13:56:07.069813Z
41,42,46,89,44,158191,29,2024-03-09T13:56:07.069582Z
42,34,57,557,55,158191,29,2024-03-09T13:56:07.069347Z
43,689,68,19,88,158191,29,2024-03-09T13:56:07.069103Z
44,526,79,567,57,158191,29,2024-03-09T13:56:07.068856Z
45,504,79,353,80,158191,29,2024-03-09T13:56:07.068615Z
46,117,81,355,142,158191,29,2024-03-09T13:56:07.068314Z
47,89,44,419,39,158191,28,2024-03-08T21:54:21.021477Z
48,321,47,430,68,158191,28,2024-03-08T16:27:11.700392Z
49,516,96,294,81,158191,27,2024-03-01T15:08:12.540124Z
50,557,56,362,57,158191,26,2024-02-23T23:57:38.228897Z
