event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,85,85,214514,215083,214514,,10,1000,0,0,5
2,60,145,793795,794118,128597,,10,1004,0,0,7
3,45,190,4054210,4054400,292044,,5,1009,1,0,16
4,84,274,1503933,1504028,139124,,5,1012,2,0,8
5,40,314,6589861,6590207,290276,,5,1014,0,0,2
6,63,377,6450795,6450921,849686,,15,1012,2,0,1
7,51,428,4142940,4143236,951060,,4,1012,1,0,4
8,41,465,6093341,6093555,1476508,,1,1012,2,4,6
9,89,554,1006914,1007159,913798,,8,1014,1,0,7
10,68,622,4501161,4501491,909881,,0,1012,0,0,4
11,36,658,2990395,2990688,714738,,0,1020,0,0,20
12,76,734,1967258,1967354,614913,,0,1026,0,0,23
13,49,783,3866600,3867028,595948,,4,1030,1,0,9
14,64,847,2179235,2179513,507612,,8,1033,1,0,12
15,35,882,5123626,5124641,521425,,9,1034,1,0,4
16,61,943,1064750,1065023,339789,,11,1035,2,0,1
17,70,1013,343842,344128,189473,,82,1041,1,0,13
18,44,1057,3007965,3008170,214853,,83,1047,1,0,18
19,37,1094,5373719,5373912,259811,,83,1050,0,0,10
20,95,1189,251418,251686,160510,,44,1048,1,0,15
21,81,1270,230452,230520,68902,5.0,105,1048,2,0,4
22,58,1328,2988223,2988538,70351,30.0,154,1048,1,0,6
23,88,1416,543189,543376,38683,10.0,83,1046,1,0,1
24,79,1495,1513425,1513642,32800,15.0,43,1050,1,0,7
25,95,1586,672313,672511,28309,10.0,17,1044,2,4,3
26,67,1649,986920,987036,21531,10.0,1,1045,2,4,1
27,84,1733,818405,818731,17543,10.0,6,1051,1,0,7
28,59,1792,1599376,1599603,17375,15.0,7,1053,1,0,5
29,15,1807,3276052,3278161,20023,35.0,7,1051,0,0,17
30,69,1876,593471,593724,14607,10.0,4,1045,0,0,13
31,67,1943,1605249,1605434,12067,15.0,4,1048,0,0,3
32,67,2010,2126322,2126631,11217,20.0,10,1054,1,0,3
33,77,2087,1972667,1972877,9794,20.0,1,1057,1,0,1
34,92,2179,2877083,2877182,18904,30.0,36,1056,2,0,0
35,79,2254,545959,546073,18792,10.0,45,1055,2,4,0
36,99,2353,713788,713930,19793,10.0,39,1058,1,0,4
37,141,2490,155378,155528,16343,5.0,25,1058,2,4,0
38,59,2549,3957961,3958247,22043,40.0,13,1058,1,0,2
