,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,6,76,412,64,19501,38,2024-05-19T05:28:42.399812Z
1,687,47,301,37,19501,37,2024-05-10T23:46:07.331306Z
2,412,64,226,60,19501,37,2024-05-10T23:46:07.327908Z
3,616,50,84,44,19501,36,2024-05-03T02:57:53.758313Z
4,415,81,590,55,19501,35,2024-04-24T23:52:01.546644Z
5,516,98,308,133,19501,35,2024-04-24T23:52:01.543179Z
6,407,45,757,42,19501,34,2024-04-19T21:43:24.698469Z
7,226,61,516,99,19501,34,2024-04-19T21:41:12.674831Z
8,590,55,279,46,19501,33,2024-04-12T23:59:39.888831Z
9,84,44,519,50,19501,32,2024-04-05T21:39:37.050123Z
10,279,46,60,86,19501,30,2024-03-28T22:50:24.286502Z
11,516,101,412,60,19501,30,2024-03-28T22:50:24.286258Z
12,757,42,419,39,19501,30,2024-03-28T22:50:24.286009Z
13,203,42,342,51,19501,30,2024-03-28T22:50:24.285710Z
14,519,50,89,44,19501,30,2024-03-28T22:50:24.285466Z
15,263,46,409,40,19501,30,2024-03-28T22:50:24.285206Z
16,301,38,524,42,19501,30,2024-03-28T22:50:24.284862Z
17,528,46,36,46,19501,29,2024-03-15T20:56:28.386122Z
18,326,52,355,142,19501,29,2024-03-15T20:53:31.475767Z
19,117,82,85,70,19501,29,2024-03-15T20:53:31.475384Z
20,447,57,412,61,19501,29,2024-03-15T20:53:31.474933Z
21,689,68,362,53,19501,29,2024-03-15T20:53:31.474504Z
22,526,80,308,130,19501,29,2024-03-15T20:53:31.474017Z
23,504,80,353,81,19501,29,2024-03-15T20:53:31.473579Z
24,516,100,19,88,19501,29,2024-03-15T20:53:31.473191Z
25,36,46,419,39,19501,29,2024-03-15T20:53:31.472897Z
26,465,44,342,51,19501,29,2024-03-15T20:53:31.472618Z
27,321,47,89,44,19501,29,2024-03-15T20:53:31.472327Z
28,508,44,5,50,19501,29,2024-03-15T20:53:31.471950Z
29,506,58,545,45,19501,29,2024-03-15T20:53:31.471677Z
30,808,45,409,40,19501,29,2024-03-15T20:53:31.471424Z
31,101,45,524,42,19501,29,2024-03-15T20:53:31.471032Z
32,89,44,83,45,19501,28,2024-03-09T00:43:15.056045Z
33,83,45,131,50,19501,27,2024-03-01T16:34:32.445732Z
34,545,45,506,55,19501,26,2024-02-23T19:51:05.392219Z
35,85,69,33,43,19501,26,2024-02-23T19:51:05.385825Z
36,308,130,509,70,19501,25,2024-02-17T01:59:15.579802Z
37,342,51,290,85,19501,25,2024-02-16T20:25:51.102165Z
38,290,85,48,45,19501,24,2024-02-09T21:26:05.948984Z
39,355,140,343,69,19501,23,2024-02-02T21:36:54.713077Z
40,353,80,308,129,19501,22,2024-01-30T17:35:13.013726Z
41,131,50,290,84,19501,21,2024-01-12T16:15:00.641103Z
42,509,69,516,96,19501,21,2024-01-12T08:47:30.701714Z
43,290,84,311,45,19501,20,2023-12-29T12:47:21.833292Z
44,48,45,528,46,19501,18,2023-12-21T18:00:22.852591Z
45,343,69,355,140,19501,17,2023-12-15T18:17:41.409702Z
46,506,53,228,46,19501,16,2023-12-08T23:50:53.376078Z
47,412,61,108,70,19501,16,2023-12-08T22:51:58.019466Z
48,409,39,28,40,19501,15,2023-12-04T23:26:29.969413Z
49,108,70,526,74,19501,14,2023-11-30T22:40:26.604672Z
50,528,46,36,50,19501,13,2023-11-25T02:43:33.156186Z
51,516,95,143,65,19501,10,2023-10-25T15:31:19.873486Z
52,228,45,407,47,19501,10,2023-10-25T15:31:19.873224Z
53,33,45,343,70,19501,10,2023-10-25T15:31:19.872891Z
54,5,47,519,47,19501,10,2023-10-24T00:53:01.337376Z
55,362,49,108,67,19501,10,2023-10-23T00:52:34.462260Z
56,60,82,538,43,19501,10,2023-10-23T00:52:34.462007Z
57,143,65,504,79,19501,10,2023-10-23T00:52:34.461733Z
58,308,127,516,94,19501,10,2023-10-23T00:52:34.461496Z
59,419,39,473,39,19501,10,2023-10-23T00:52:34.461242Z
60,524,42,424,55,19501,10,2023-10-23T00:52:34.460940Z
61,407,47,430,67,19501,10,2023-10-23T00:52:34.460637Z
62,526,73,353,75,19501,10,2023-10-22T18:19:33.637155Z
63,311,44,20,51,19501,9,2023-10-20T12:32:21.792013Z
64,516,93,396,88,19501,8,2023-10-05T12:58:21.267531Z
65,36,49,131,51,19501,8,2023-10-05T12:58:21.259721Z
66,430,66,195,55,19501,7,2023-09-29T12:50:02.532478Z
67,424,55,352,55,19501,6,2023-09-23T11:54:32.181376Z
68,343,69,60,79,19501,6,2023-09-23T11:54:32.171940Z
69,108,68,143,65,19501,4,2023-09-01T00:36:16.219754Z
70,504,77,12,80,19501,4,2023-09-01T00:36:16.214344Z
71,352,55,597,50,19501,3,2023-08-25T00:05:03.612824Z
