event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,74,74,1871592,1886668,1871592,,0,1000,0,0,11
2,38,112,6446770,6449673,3626151,,29,1003,1,0,16
3,52,164,2092273,2096277,2521263,,4,1008,1,0,19
4,75,239,4060550,4068649,2489472,,2,1013,1,0,9
5,40,279,6791500,6797049,3002598,,0,1015,1,0,8
6,84,363,1196565,1197967,1794917,,0,1013,0,0,3
7,70,429,880624,880807,916123,,0,1012,3,4,16
8,45,474,4601788,4604985,995722,,2,1018,1,0,8
9,73,547,3720363,3723275,1189663,,2,1021,0,0,3
10,75,622,2525926,2528629,909881,,3,1023,1,0,3
11,33,655,4211433,4216178,813843,,4,1019,0,0,10
12,88,743,390099,390929,413946,,4,1026,0,0,17
13,47,790,4696200,4702024,441754,,10,1030,1,0,9
14,58,848,4143064,4147150,487296,,16,1032,1,0,11
15,31,879,7198935,7201532,589748,,7,1031,2,0,2
16,57,936,1664890,1668720,450706,,1,1033,1,0,1
17,64,996,939844,943422,376949,,50,1035,2,4,7
18,37,1033,4724615,4727378,509209,,50,1040,0,0,16
19,46,1079,2310664,2316200,442478,,14,1042,1,0,12
20,82,1161,1444901,1446661,419666,,5,1046,2,0,11
21,59,1208,2380787,2381029,562054,25.0,6,1046,4,12,5
22,48,1256,5457042,5460985,691054,55.0,6,1050,0,0,5
23,78,1334,1510195,1511597,587440,15.0,5,1045,2,0,6
24,83,1417,867252,870110,442039,10.0,3,1049,1,0,0
25,69,1486,6562611,6565260,561763,65.0,21,1036,0,0,5
26,57,1543,2561810,2564763,530036,25.0,12,1037,1,0,0
27,71,1614,3346722,3350240,567313,35.0,46,1040,1,0,17
28,64,1678,910743,913115,459552,10.0,24,1044,1,0,3
29,16,1694,2904850,2919417,473518,30.0,24,1043,0,0,11
30,65,1755,1244145,1246524,452649,15.0,1,1046,2,4,9
31,64,1819,2023021,2025676,425110,20.0,1,1048,0,0,0
32,68,1887,1899744,1903067,384453,20.0,1,1051,1,0,1
33,67,1954,3691431,3694569,428368,35.0,3,1051,1,0,2
34,105,2059,1446486,1447638,366871,15.0,33,1049,2,0,0
35,75,2126,902676,903688,367560,10.0,42,1048,3,8,2
36,114,2240,66436,66859,252472,1.0,31,1049,1,0,7
37,147,2379,50903,51230,192237,1.0,18,1052,3,8,0
38,65,2444,2789436,2792921,201314,30.0,25,1054,1,0,5
