,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,236,57,412,64,304710,38,2024-05-19T03:25:34.691854Z
1,353,84,373,84,304710,37,2024-05-10T15:52:36.908618Z
2,412,64,226,60,304710,37,2024-05-10T15:52:36.904405Z
3,616,51,387,42,304710,37,2024-05-10T15:44:55.622923Z
4,415,83,85,72,304710,36,2024-05-02T20:38:05.856605Z
5,373,83,308,133,304710,35,2024-04-25T20:39:05.762754Z
6,211,68,468,48,304710,35,2024-04-25T20:39:05.762004Z
7,516,98,303,77,304710,35,2024-04-25T20:39:05.754016Z
8,385,44,301,38,304710,34,2024-04-19T13:28:08.537174Z
9,226,61,516,97,304710,34,2024-04-19T13:28:08.533358Z
10,303,77,353,79,304710,33,2024-04-13T00:46:18.989443Z
11,468,48,314,48,304710,32,2024-04-06T03:11:26.929641Z
12,203,42,508,44,304710,30,2024-03-16T21:40:55.285574Z
13,308,130,349,105,304710,30,2024-03-16T21:40:55.279943Z
14,465,44,467,43,304710,29,2024-03-16T00:29:26.530440Z
15,508,44,114,44,304710,29,2024-03-16T00:26:35.967357Z
16,614,45,49,53,304710,29,2024-03-16T00:26:35.966964Z
17,34,57,43,57,304710,29,2024-03-15T23:39:46.451024Z
18,43,57,450,58,304710,29,2024-03-12T03:43:30.853210Z
19,506,57,36,46,304710,29,2024-03-12T03:43:30.852905Z
20,326,52,355,142,304710,29,2024-03-12T03:40:28.464747Z
21,60,90,314,49,304710,29,2024-03-12T03:40:28.464523Z
22,117,81,85,71,304710,29,2024-03-12T03:40:28.464302Z
23,689,68,362,57,304710,29,2024-03-12T03:40:28.464066Z
24,450,58,353,79,304710,29,2024-03-12T03:40:28.463806Z
25,504,80,349,105,304710,29,2024-03-12T03:40:28.463575Z
26,526,79,19,91,304710,29,2024-03-12T03:40:28.463346Z
27,528,46,508,44,304710,29,2024-03-12T03:40:28.463106Z
28,36,46,387,42,304710,29,2024-03-12T03:40:28.462864Z
29,467,43,245,42,304710,29,2024-03-12T03:40:28.462633Z
30,321,47,20,54,304710,29,2024-03-12T03:40:28.462401Z
31,114,44,5,52,304710,29,2024-03-12T03:40:28.462150Z
32,49,53,524,42,304710,29,2024-03-12T03:40:28.461884Z
33,101,45,301,37,304710,29,2024-03-12T03:40:28.461595Z
34,85,71,258,49,304710,28,2024-03-04T21:27:08.185857Z
35,516,96,308,130,304710,27,2024-03-01T18:16:01.187812Z
36,19,90,294,81,304710,26,2024-02-17T20:26:44.548779Z
37,314,49,117,82,304710,25,2024-02-16T23:59:37.720964Z
38,258,49,60,86,304710,25,2024-02-16T23:59:37.720765Z
39,308,130,236,58,304710,25,2024-02-16T23:59:37.720565Z
40,349,108,19,87,304710,25,2024-02-16T23:59:37.720373Z
41,508,44,506,56,304710,25,2024-02-16T23:59:37.720149Z
42,245,42,369,54,304710,25,2024-02-16T23:59:37.719899Z
43,387,42,131,50,304710,25,2024-02-16T23:59:37.719652Z
44,301,37,409,41,304710,25,2024-02-16T23:59:37.719375Z
45,5,51,290,84,304710,25,2024-02-15T23:35:46.525426Z
46,117,82,135,54,304710,25,2024-02-15T23:35:46.519966Z
47,294,80,526,78,304710,24,2024-02-05T22:37:00.348870Z
48,236,59,308,129,304710,23,2024-02-02T18:37:22.280086Z
49,355,140,343,69,304710,23,2024-02-02T18:37:22.273216Z
50,369,54,178,39,304710,21,2024-01-12T18:14:18.208865Z
51,131,50,419,40,304710,21,2024-01-12T00:01:29.427363Z
52,135,54,490,43,304710,21,2024-01-12T00:01:29.426839Z
53,362,57,516,94,304710,21,2024-01-12T00:01:29.421241Z
54,343,69,293,75,304710,20,2023-12-29T22:17:21.757230Z
55,353,76,412,61,304710,20,2023-12-29T22:17:21.749012Z
56,290,83,311,47,304710,19,2023-12-25T19:00:27.017408Z
57,506,54,36,48,304710,17,2023-12-15T14:06:27.390460Z
58,60,85,355,140,304710,17,2023-12-15T14:04:40.540621Z
59,526,76,108,70,304710,16,2023-12-08T17:36:16.855505Z
60,409,40,28,40,304710,15,2023-12-05T17:03:43.818368Z
61,412,60,362,51,304710,15,2023-12-04T22:36:16.144169Z
62,293,76,60,82,304710,14,2023-12-02T09:25:46.417760Z
63,108,69,526,75,304710,13,2023-11-25T07:40:30.244058Z
64,362,50,122,50,304710,11,2023-11-04T03:41:33.150886Z
65,526,74,196,43,304710,11,2023-11-04T02:38:32.499130Z
66,490,43,293,75,304710,11,2023-11-04T02:38:32.498812Z
67,178,39,245,40,304710,11,2023-11-03T17:54:33.174549Z
68,245,40,178,39,304710,11,2023-11-01T22:14:27.349707Z
69,293,75,490,43,304710,11,2023-11-01T22:06:02.624085Z
70,122,50,557,55,304710,11,2023-11-01T22:06:02.623822Z
71,196,43,526,74,304710,11,2023-11-01T22:06:02.623567Z
72,178,39,473,38,304710,11,2023-11-01T22:06:02.623251Z
73,419,40,178,39,304710,11,2023-11-01T03:00:56.486192Z
74,490,43,331,45,304710,11,2023-10-31T04:21:03.279989Z
75,308,128,504,78,304710,11,2023-10-31T04:21:03.279753Z
76,557,55,143,65,304710,11,2023-10-31T04:21:03.279498Z
77,473,38,519,46,304710,11,2023-10-31T04:21:03.279237Z
78,178,39,430,68,304710,11,2023-10-31T04:21:03.278987Z
79,311,46,197,45,304710,11,2023-10-31T04:21:03.278673Z
80,526,74,353,75,304710,10,2023-10-25T16:20:08.700162Z
81,36,49,131,51,304710,8,2023-10-07T00:02:14.858442Z
82,143,66,216,71,304710,7,2023-09-30T04:28:40.215301Z
83,430,67,195,55,304710,7,2023-09-30T04:28:40.214753Z
84,524,42,597,49,304710,7,2023-09-30T04:28:40.208663Z
