event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,84,84,284651,338756,284651,,5,1000,0,0,5
2,46,130,3894261,3969704,959619,,5,1002,0,0,10
3,32,162,8227775,8253425,2770711,,0,1004,2,0,7
4,77,239,3310650,3404441,2489472,,8,1007,1,0,4
5,50,289,2617575,2688496,1921548,,3,1004,1,0,4
6,72,361,3788704,3859236,1962710,,3,1001,0,0,2
7,41,402,6978504,7012500,2734817,,6,1001,2,0,8
8,58,460,1234906,1274712,1763658,,6,1002,0,0,1
9,88,548,1068592,1116055,1131342,,6,1001,0,0,1
10,76,624,2268129,2303535,825822,,11,1000,1,0,2
11,34,658,3781156,3902392,707442,,11,1002,0,0,10
12,98,756,45070,48985,214367,,4,1004,1,0,5
13,55,811,1727934,1802370,152183,,4,1012,0,0,9
14,58,869,3950054,4049560,182858,,4,1015,0,0,5
15,36,905,4346306,4495727,179426,,4,1015,0,0,0
16,40,945,5390816,5416787,309041,,6,1011,2,0,0
17,47,992,4425956,4495966,429254,,6,1010,0,0,0
18,37,1029,4974445,5005089,572285,,0,1009,2,0,8
19,57,1086,380233,401885,346031,,16,1009,0,0,12
20,67,1153,3903394,3958445,520122,,16,1012,0,0,19
21,49,1202,4641204,4675331,638594,45.0,76,1011,2,0,6
22,53,1255,4133553,4215224,697775,40.0,76,1011,0,0,3
23,45,1300,7693702,7699743,1115491,75.0,16,1009,2,0,15
24,104,1404,7210,7509,577868,1.0,18,1008,1,0,1
25,118,1522,6405,6671,249374,1.0,18,1008,0,0,3
26,66,1588,1101364,1117770,186304,15.0,0,1009,2,0,2
27,75,1663,2396690,2443136,196430,25.0,0,1016,1,0,18
28,42,1705,5796268,5892587,265553,55.0,0,1019,0,0,14
29,18,1723,2385389,2493047,264964,25.0,0,1017,0,0,4
30,45,1768,6080590,6103501,353178,60.0,17,1018,1,0,3
31,43,1811,5752570,5824658,484298,55.0,0,1009,0,0,2
32,55,1866,5898899,5939722,544699,55.0,3,1010,1,0,1
33,64,1930,4159472,4221487,624877,40.0,3,1012,0,0,0
34,76,2002,5402501,5408964,830036,55.0,13,1011,3,4,0
35,51,2053,5668322,5690659,958451,55.0,2,1012,1,0,1
36,70,2123,5836115,5923191,1074953,55.0,2,1009,0,0,0
37,99,2218,3031237,3038608,1198438,30.0,0,1002,3,4,4
38,57,2267,4433547,4436391,1367244,45.0,0,1003,3,8,0
