,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,687,47,275,48,5885050,38,2024-05-19T08:30:45.275002Z
1,33,42,538,41,5885050,38,2024-05-19T08:30:45.274493Z
2,37,38,473,38,5885050,38,2024-05-19T08:30:45.270967Z
3,203,43,178,39,5885050,37,2024-05-11T03:24:00.960490Z
4,355,142,293,75,5885050,37,2024-05-11T03:04:40.130868Z
5,412,64,308,133,5885050,37,2024-05-11T03:04:40.127464Z
6,506,58,220,47,5885050,35,2024-04-27T05:10:02.231489Z
7,220,47,37,38,5885050,34,2024-04-20T03:03:16.487393Z
8,293,78,355,141,5885050,34,2024-04-20T02:59:45.750569Z
9,14,86,196,42,5885050,34,2024-04-20T02:59:45.746929Z
10,85,73,293,76,5885050,32,2024-04-06T03:51:17.947847Z
11,178,39,532,44,5885050,31,2024-04-02T05:09:53.673805Z
12,196,42,134,64,5885050,31,2024-04-02T05:09:53.673566Z
13,361,37,524,41,5885050,31,2024-04-02T05:09:53.673329Z
14,538,41,85,70,5885050,31,2024-04-02T05:09:53.673054Z
15,516,101,14,84,5885050,31,2024-04-02T05:09:53.672819Z
16,275,48,301,38,5885050,31,2024-04-02T05:09:53.672550Z
17,37,38,369,53,5885050,31,2024-04-02T05:09:53.672288Z
18,308,133,43,56,5885050,31,2024-04-02T05:09:53.671903Z
19,293,76,60,88,5885050,31,2024-04-02T04:56:00.086238Z
20,301,38,352,55,5885050,30,2024-03-30T07:21:24.650088Z
21,28,39,524,41,5885050,29,2024-03-16T07:15:31.564017Z
22,178,40,473,38,5885050,29,2024-03-16T07:10:08.411250Z
23,106,54,134,65,5885050,29,2024-03-16T07:10:08.410815Z
24,96,45,20,55,5885050,29,2024-03-16T07:10:08.410536Z
25,326,52,85,70,5885050,29,2024-03-16T07:10:08.410255Z
26,117,82,355,142,5885050,29,2024-03-16T07:10:08.409845Z
27,504,80,362,57,5885050,29,2024-03-16T07:10:08.409322Z
28,526,80,14,84,5885050,29,2024-03-16T07:10:08.408845Z
29,506,58,369,53,5885050,29,2024-03-16T07:10:08.408340Z
30,321,47,313,63,5885050,29,2024-03-16T07:10:08.407839Z
31,516,100,19,90,5885050,29,2024-03-16T07:10:08.407253Z
32,532,44,41,44,5885050,27,2024-03-02T06:13:59.679648Z
33,60,88,135,53,5885050,26,2024-02-24T06:02:29.183973Z
34,134,65,294,82,5885050,26,2024-02-24T06:02:29.177076Z
35,294,82,396,84,5885050,24,2024-02-10T02:25:43.415768Z
36,355,141,343,68,5885050,23,2024-02-03T04:13:57.156097Z
37,396,84,516,97,5885050,23,2024-02-03T04:13:57.148629Z
38,43,56,513,45,5885050,21,2024-01-12T05:46:05.391533Z
39,362,57,308,128,5885050,21,2024-01-12T05:46:05.385334Z
40,513,45,664,61,5885050,19,2023-12-24T01:46:07.719901Z
41,343,68,355,139,5885050,19,2023-12-24T01:46:07.719614Z
42,41,44,368,53,5885050,19,2023-12-24T01:46:07.719263Z
43,352,55,597,48,5885050,19,2023-12-24T01:46:07.719011Z
44,85,69,538,43,5885050,19,2023-12-24T01:46:07.718721Z
45,369,53,311,47,5885050,19,2023-12-24T01:46:07.718468Z
46,14,84,143,65,5885050,19,2023-12-24T01:46:07.718189Z
47,19,90,108,68,5885050,19,2023-12-24T01:46:07.717853Z
48,368,53,430,68,5885050,18,2023-12-15T20:21:08.072119Z
49,516,97,353,76,5885050,18,2023-12-15T20:21:08.064115Z
50,313,61,234,46,5885050,16,2023-12-09T06:03:08.395867Z
51,353,76,516,93,5885050,16,2023-12-09T06:03:08.387789Z
52,234,46,316,39,5885050,12,2023-11-11T04:05:27.748453Z
53,311,45,131,50,5885050,10,2023-10-27T05:43:38.028040Z
54,664,63,12,77,5885050,7,2023-09-30T02:55:28.983409Z
55,430,67,195,56,5885050,7,2023-09-30T02:55:28.977335Z
56,516,91,19,86,5885050,5,2023-09-16T04:56:16.931353Z
57,20,52,313,60,5885050,4,2023-09-01T03:20:27.032908Z
58,108,67,344,64,5885050,3,2023-08-25T04:26:07.899686Z
59,195,57,398,55,5885050,3,2023-08-25T04:26:07.889497Z
