event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,59,59,5512192,5518255,5512193,,5,1000,0,0,15
2,61,120,685557,687815,2277634,,5,1002,0,0,18
3,55,175,1456060,1461385,1271741,,7,1005,1,0,10
4,45,220,9145403,9145632,4543088,,9,1010,1,0,9
5,40,260,6589861,6596847,4966740,,0,1006,0,0,7
6,70,330,4329833,4333539,4730360,,0,1009,0,0,12
7,52,378,3998552,3999219,4706210,,4,1012,3,4,17
8,56,430,1702932,1705157,4049937,,8,1014,2,4,2
9,103,525,128839,128925,2372242,,8,1012,3,8,6
10,76,601,2268129,2271267,1883501,,1,1014,1,0,10
11,37,638,2635573,2640027,1551820,,1,1020,0,0,4
12,102,736,16783,16819,581946,,1,1022,3,4,8
13,44,780,5757960,5763494,687137,,1,1028,0,0,5
14,51,831,6452627,6456525,930475,,1,1032,0,0,6
15,28,859,8144074,8150125,1178049,,1,1031,0,0,2
16,41,900,4973323,4976039,1397517,,1,1029,0,0,3
17,57,953,2153934,2155218,1331197,,1,1025,3,4,1
18,39,992,4149626,4153463,1466645,,1,1028,0,0,8
19,39,1007,4966392,4966400,2327108,,2,1020,8,24,10
20,70,1077,3424884,3427658,2326974,,6,1024,1,0,12
21,64,1141,1476147,1477811,1940804,15.0,50,1024,1,0,3
22,52,1193,4402155,4407055,2022594,45.0,50,1026,0,0,3
23,50,1243,6543120,6546067,2435228,65.0,50,1026,0,0,4
24,65,1308,4735538,4739221,2431016,45.0,50,1026,0,0,1
25,88,1396,1521090,1523026,2126271,15.0,50,1024,0,0,0
26,33,1429,8441771,8444135,2565528,80.0,50,1028,0,0,0
27,60,1489,6161857,6165441,2774682,60.0,50,1031,0,0,5
28,27,1512,9823601,9823675,3292097,95.0,14,1028,3,4,14
29,10,1522,5630931,5639692,3380637,55.0,14,1025,0,0,0
30,53,1575,3789362,3793664,3340109,40.0,14,1024,0,0,2
31,32,1607,7863808,7866039,3741125,75.0,14,1022,0,0,0
32,42,1625,9562600,9562605,4508810,90.0,0,1019,8,24,3
33,43,1668,8229473,8231748,4791214,80.0,0,1022,0,0,3
34,74,1742,5582434,5584471,4856527,55.0,0,1023,0,0,2
35,40,1782,8311777,8314844,5019906,80.0,0,1026,0,0,1
36,62,1844,7570776,7573950,5126106,75.0,0,1025,0,0,8
37,45,1889,10306588,10307338,5547335,100.0,0,1023,0,0,5
38,78,1967,921814,923299,5189621,10.0,0,1024,0,0,7
