,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,569,50,301,38,407819,32,2024-04-03T23:31:33.997837Z
1,516,101,513,44,407819,32,2024-04-03T23:31:33.997380Z
2,135,52,538,41,407819,32,2024-04-03T23:31:33.996936Z
3,415,78,355,143,407819,32,2024-04-03T23:31:33.996500Z
4,353,81,349,103,407819,32,2024-04-03T23:31:33.995988Z
5,308,134,19,90,407819,32,2024-04-03T23:31:33.995527Z
6,293,76,60,85,407819,32,2024-04-03T23:31:33.994998Z
7,178,39,369,53,407819,32,2024-04-03T23:31:33.991227Z
8,301,37,291,56,407819,28,2024-03-02T18:20:10.316494Z
9,355,145,85,70,407819,28,2024-03-02T18:20:10.316061Z
10,313,64,290,84,407819,28,2024-03-02T18:20:10.312566Z
11,14,84,308,128,407819,21,2024-01-05T06:12:26.396474Z
12,48,46,511,50,407819,20,2023-12-27T23:37:36.484938Z
13,511,50,350,55,407819,19,2023-12-25T23:57:28.089948Z
14,150,40,220,47,407819,19,2023-12-25T23:57:28.089518Z
15,19,90,362,55,407819,19,2023-12-25T23:57:28.089032Z
16,369,53,427,52,407819,19,2023-12-25T23:57:28.088532Z
17,349,102,516,96,407819,19,2023-12-25T23:57:28.088200Z
18,290,83,311,46,407819,19,2023-12-25T23:57:28.087748Z
19,689,68,599,66,407819,19,2023-12-25T23:57:28.087257Z
20,85,69,355,139,407819,19,2023-12-25T23:57:28.077865Z
21,538,43,326,52,407819,17,2023-12-11T16:21:58.313859Z
22,362,55,526,74,407819,17,2023-12-11T16:21:58.313396Z
23,516,95,108,67,407819,17,2023-12-11T16:21:58.304985Z
24,427,52,407,46,407819,12,2023-11-10T18:36:38.436379Z
25,20,53,639,46,407819,12,2023-11-10T18:36:38.435889Z
26,599,68,504,81,407819,12,2023-11-10T18:36:38.430177Z
27,639,46,316,39,407819,10,2023-10-23T20:30:26.664657Z
28,60,82,293,74,407819,9,2023-10-19T14:31:20.705409Z
29,504,81,19,85,407819,9,2023-10-19T14:31:20.704962Z
30,311,44,36,48,407819,9,2023-10-19T14:31:20.695298Z
31,407,46,131,52,407819,8,2023-10-07T01:04:25.326757Z
32,513,46,52,44,407819,8,2023-10-04T03:13:14.271296Z
33,316,40,511,47,407819,7,2023-09-26T05:01:37.249173Z
34,526,71,504,78,407819,7,2023-09-26T05:01:37.248250Z
35,326,55,33,45,407819,7,2023-09-26T05:01:37.240729Z
36,504,78,353,76,407819,5,2023-09-15T13:48:58.436433Z
37,131,53,206,53,407819,5,2023-09-15T13:48:58.436103Z
38,206,53,195,58,407819,5,2023-09-11T00:37:31.664572Z
39,511,47,203,42,407819,5,2023-09-11T00:37:31.664147Z
40,195,58,131,51,407819,5,2023-09-06T03:56:54.191231Z
41,33,45,132,59,407819,5,2023-09-06T03:56:54.190940Z
42,353,76,526,71,407819,5,2023-09-06T03:56:54.190589Z
43,203,42,519,47,407819,5,2023-09-06T03:52:31.301220Z
44,526,71,365,57,407819,5,2023-09-06T03:52:31.300949Z
45,19,87,516,91,407819,5,2023-09-06T03:52:31.300619Z
46,516,91,19,86,407819,5,2023-09-06T03:42:10.804334Z
47,36,46,307,65,407819,5,2023-09-06T03:42:10.804069Z
48,291,55,520,51,407819,5,2023-09-06T03:42:10.803820Z
49,519,47,203,41,407819,5,2023-09-06T03:42:10.803519Z
50,307,65,405,45,407819,5,2023-09-03T20:27:26.379292Z
51,520,51,597,50,407819,5,2023-09-03T20:27:26.378768Z
52,350,55,195,58,407819,5,2023-09-03T20:27:26.378292Z
53,203,41,369,51,407819,5,2023-09-03T20:27:26.377802Z
54,220,46,316,40,407819,5,2023-09-03T20:27:26.377393Z
55,365,57,353,75,407819,5,2023-09-03T20:27:26.376903Z
56,52,44,373,85,407819,5,2023-09-03T20:27:26.376465Z
57,132,59,415,76,407819,5,2023-09-03T20:27:26.376093Z
58,355,141,211,71,407819,5,2023-09-03T20:27:26.375725Z
59,195,58,313,60,407819,4,2023-09-01T03:06:52.441906Z
60,369,51,368,53,407819,3,2023-08-24T03:47:08.508499Z
61,143,65,353,75,407819,2,2023-08-17T02:07:52.814014Z
62,365,56,373,85,407819,2,2023-08-17T02:07:52.813781Z
63,82,45,293,75,407819,2,2023-08-17T02:07:52.813547Z
64,355,140,211,70,407819,2,2023-08-17T02:07:52.813283Z
65,195,56,368,54,407819,2,2023-08-17T02:07:52.812954Z
