event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,71,71,2641868,2651257,2641868,,0,1000,0,0,4
2,40,111,5753400,5756777,3723117,,0,1003,0,0,1
3,62,173,565517,567127,1467286,,4,1006,1,0,22
4,65,238,7465891,7467205,2577989,,7,1009,1,0,9
5,41,279,6379443,6383321,2978704,,0,1008,1,0,7
6,59,338,7353645,7355199,4059765,,1,1006,1,0,14
7,37,375,7926552,7928849,4933590,,11,1007,1,0,13
8,69,444,288962,289297,2945632,,4,1007,2,0,8
9,80,524,2408159,2410666,2415323,,5,1011,1,0,5
10,84,608,717305,718159,1499871,,5,1014,0,0,4
11,16,624,9967552,9968883,2309450,,4,1020,1,0,11
12,87,711,461597,462232,1394315,,4,1022,0,0,2
13,37,748,8608933,8611578,1871898,,5,1025,1,0,1
14,60,808,3261737,3263804,1782907,,5,1025,0,0,0
15,29,837,8002258,8007172,2083681,,10,1022,1,0,2
16,78,915,32876,32968,919550,,10,1022,1,0,3
17,41,956,6308135,6309021,1229275,,15,1021,1,0,7
18,32,984,6594305,6594529,1715405,,1,1019,3,4,2
19,39,1023,4810399,4816230,1761202,,2,1021,1,0,2
20,44,1067,7966838,7967570,2631293,,77,1017,0,0,18
21,52,1119,3703455,3705046,2552737,40.0,77,1028,0,0,5
22,66,1185,1218630,1220668,2221174,15.0,77,1031,0,0,7
23,70,1255,2666241,2668637,2114812,30.0,79,1027,1,0,7
24,47,1302,9118521,9119024,2572014,90.0,60,1026,1,0,9
25,68,1370,7076572,7077638,2752697,70.0,84,1018,2,0,7
26,74,1444,361482,361996,2205789,5.0,84,1022,0,0,1
27,64,1508,5246922,5248834,2335673,50.0,56,1024,1,0,9
28,76,1584,141408,141948,1744021,5.0,69,1026,2,0,14
29,14,1598,3734413,3739447,1783087,35.0,69,1028,0,0,17
30,50,1648,4738889,4740478,1867685,45.0,16,1027,1,0,6
31,60,1708,2730040,2731727,1822958,30.0,14,1026,1,0,3
32,81,1789,284965,285635,1488619,5.0,14,1025,0,0,12
33,29,1818,10298527,10298601,2186983,100.0,7,1024,1,0,9
34,135,1953,175041,175189,1437030,5.0,37,1022,2,0,11
35,77,2030,654835,656113,1227069,10.0,49,1020,0,0,11
36,71,2101,5601884,5603888,1326745,55.0,49,1025,0,0,6
37,133,2230,424952,425658,1079547,5.0,6,1025,3,4,0
38,72,2302,1623219,1624509,1016491,15.0,6,1028,0,0,3
