,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,5,54,387,42,232134,37,2024-05-11T09:57:13.457099Z
1,355,142,60,88,232134,37,2024-05-11T08:06:36.484472Z
2,412,64,19,87,232134,37,2024-05-11T08:06:36.480503Z
3,29,60,5,53,232134,35,2024-04-27T07:29:27.318766Z
4,369,53,616,49,232134,35,2024-04-27T07:19:39.696762Z
5,203,43,198,48,232134,35,2024-04-27T07:19:39.696440Z
6,616,49,32,49,232134,35,2024-04-27T06:15:13.079834Z
7,211,69,326,48,232134,35,2024-04-27T06:15:13.079560Z
8,198,48,89,45,232134,35,2024-04-27T06:15:13.079222Z
9,415,82,85,71,232134,35,2024-04-27T06:15:13.078776Z
10,516,99,308,134,232134,35,2024-04-27T06:15:13.078535Z
11,362,62,236,56,232134,35,2024-04-27T06:15:13.078252Z
12,387,42,29,60,232134,35,2024-04-27T06:15:13.077983Z
13,506,58,307,64,232134,35,2024-04-27T06:15:13.077676Z
14,236,56,516,98,232134,34,2024-04-20T08:37:32.676255Z
15,29,60,131,48,232134,34,2024-04-20T08:37:32.668970Z
16,307,64,506,57,232134,33,2024-04-13T06:38:54.606489Z
17,5,53,342,51,232134,31,2024-04-02T16:59:19.688120Z
18,308,132,526,79,232134,30,2024-03-30T07:54:39.372593Z
19,508,44,342,51,232134,29,2024-03-16T04:55:27.443326Z
20,528,46,32,51,232134,29,2024-03-16T04:55:27.442807Z
21,43,57,382,48,232134,29,2024-03-16T04:55:27.441290Z
22,614,45,263,45,232134,29,2024-03-16T04:55:27.441014Z
23,117,82,85,71,232134,29,2024-03-16T04:55:27.440687Z
24,447,57,19,88,232134,29,2024-03-16T04:55:27.438335Z
25,504,80,353,81,232134,29,2024-03-16T04:55:27.435201Z
26,36,46,89,45,232134,29,2024-03-16T04:55:27.434723Z
27,321,47,131,49,232134,29,2024-03-16T04:55:27.434218Z
28,101,45,409,41,232134,29,2024-03-16T04:55:27.433652Z
29,89,45,83,45,232134,28,2024-03-09T09:45:14.306713Z
30,326,52,343,65,232134,28,2024-03-09T09:45:14.300949Z
31,516,97,509,69,232134,27,2024-03-02T10:05:21.071799Z
32,32,51,203,41,232134,25,2024-02-17T04:28:59.169786Z
33,342,51,290,85,232134,25,2024-02-17T04:26:15.407709Z
34,353,80,412,61,232134,24,2024-02-10T06:02:33.992095Z
35,412,62,134,64,232134,23,2024-02-03T06:05:16.403238Z
36,60,88,132,59,232134,20,2023-12-30T08:37:03.522467Z
37,509,68,308,129,232134,20,2023-12-30T08:37:03.519730Z
38,526,79,516,96,232134,20,2023-12-30T08:37:03.519435Z
39,134,64,50,55,232134,20,2023-12-30T08:37:03.519186Z
40,290,84,298,45,232134,20,2023-12-30T08:37:03.518858Z
41,85,70,355,139,232134,20,2023-12-29T00:30:00.068833Z
42,382,47,52,44,232134,20,2023-12-29T00:30:00.068528Z
43,131,49,27,39,232134,20,2023-12-29T00:30:00.068261Z
44,343,68,60,87,232134,20,2023-12-29T00:30:00.068025Z
45,50,55,591,53,232134,20,2023-12-29T00:30:00.067760Z
46,203,41,419,42,232134,20,2023-12-29T00:30:00.067442Z
47,298,45,311,46,232134,19,2023-12-26T08:19:21.596481Z
48,60,87,343,69,232134,18,2023-12-21T17:40:42.089998Z
49,591,53,599,66,232134,18,2023-12-21T17:40:42.089564Z
50,506,55,519,46,232134,18,2023-12-21T17:40:42.081288Z
51,83,44,220,49,232134,17,2023-12-15T16:14:13.299853Z
52,409,40,28,40,232134,16,2023-12-07T01:01:42.076333Z
53,419,42,36,47,232134,15,2023-12-05T17:58:48.224651Z
54,27,39,602,40,232134,13,2023-11-25T09:40:54.293919Z
55,132,60,119,59,232134,11,2023-11-04T05:30:31.689710Z
56,311,44,688,45,232134,9,2023-10-21T07:46:05.611931Z
57,516,94,373,84,232134,8,2023-10-07T06:55:56.835117Z
58,220,48,131,51,232134,8,2023-10-07T06:55:56.828137Z
59,688,45,195,55,232134,7,2023-09-30T09:37:34.558967Z
60,343,69,211,70,232134,6,2023-09-23T12:12:37.554553Z
61,119,61,135,54,232134,5,2023-09-16T01:49:20.272906Z
62,599,66,509,69,232134,4,2023-09-01T01:28:29.722508Z
63,519,45,5,49,232134,3,2023-08-25T17:01:29.698109Z
