event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,80,80,710070,799886,710070,,5,1000,0,0,11
2,46,126,3894261,3944184,1415203,,5,1003,0,0,4
3,42,168,5181362,5218133,2039192,,1,1004,2,0,4
4,71,235,5816212,5849010,2975666,,23,1007,2,4,21
5,41,276,6379443,6440196,3370054,,10,1005,1,0,3
6,68,344,4884106,4931420,3530191,,10,1004,0,0,9
7,39,383,7310831,7347915,4311065,,10,1002,0,0,5
8,53,436,2164173,2210430,3558208,,10,997,0,0,6
9,71,507,4329116,4342542,3492153,,2,996,2,0,5
10,70,577,3846011,3904779,3288783,,2,994,0,0,3
11,43,620,1127847,1160342,2540997,,2,995,0,0,4
12,73,693,2870707,2896695,2255303,,2,995,2,0,4
13,53,746,2274812,2329512,1965398,,2,998,0,0,5
14,56,802,4672808,4735774,2055576,,2,999,0,0,2
15,28,826,8520387,8523825,2628461,,5,995,3,4,0
16,30,856,7328603,7339918,3287886,,13,994,1,0,3
17,40,896,6406909,6454452,3552263,,13,991,0,0,2
18,34,930,5685962,5743662,3769389,,13,989,0,0,2
19,21,951,9977738,10002187,4461614,,13,988,0,0,3
20,78,1029,1921281,1949042,3905352,,9,988,0,0,5
21,40,1069,6903266,6951028,4109261,70.0,9,996,0,0,1
22,61,1130,2328839,2344729,3817042,25.0,61,993,2,0,1
23,56,1186,5300976,5348396,3962287,55.0,61,989,0,0,0
24,61,1247,5835170,5885649,4025560,60.0,61,986,0,0,0
25,81,1328,3052415,3096270,3837143,30.0,61,981,0,0,0
26,54,1382,3132078,3169877,3713073,30.0,61,983,0,0,0
27,66,1448,4740114,4755307,3728367,45.0,1,983,2,0,0
28,23,1471,10280373,10282751,4208782,100.0,4,983,1,0,1
29,5,1476,8515638,8633792,4372084,80.0,4,981,0,0,0
30,33,1509,8740069,8783805,4678183,90.0,4,979,0,0,0
31,55,1564,3465972,3500791,4532946,35.0,4,978,0,0,0
32,58,1622,4616572,4691439,4553755,45.0,4,977,0,0,0
33,47,1669,7479752,7519640,4768919,70.0,4,978,0,0,0
34,74,1743,5582434,5613049,4836058,55.0,4,976,0,0,0
35,46,1789,6801460,6860142,4917103,65.0,4,978,0,0,0
36,93,1882,1260134,1285699,4584981,15.0,4,979,0,0,2
37,73,1955,6634635,6674984,4697338,65.0,4,980,0,0,2
38,39,1994,8034091,8080897,4860361,75.0,4,979,0,0,0
