,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,321,47,131,50,3934214,28,2024-03-04T20:36:55.224348Z
1,245,42,506,56,3934214,27,2024-02-26T18:54:00.145137Z
2,355,144,85,70,3934214,27,2024-02-26T18:54:00.141748Z
3,412,61,526,80,3934214,22,2024-01-18T03:40:17.944283Z
4,131,51,290,84,3934214,22,2024-01-18T03:40:17.936970Z
5,85,70,355,139,3934214,20,2023-12-29T19:47:52.291870Z
6,43,55,591,53,3934214,20,2023-12-29T19:47:52.291317Z
7,353,76,403,42,3934214,20,2023-12-29T19:47:52.291008Z
8,526,79,216,71,3934214,20,2023-12-29T19:47:52.290681Z
9,31,52,430,66,3934214,20,2023-12-29T19:47:52.290421Z
10,506,56,419,42,3934214,20,2023-12-29T19:47:52.290075Z
11,197,47,220,49,3934214,20,2023-12-29T19:47:52.289796Z
12,290,84,36,47,3934214,20,2023-12-29T19:47:52.289502Z
13,524,42,597,48,3934214,20,2023-12-29T19:47:52.288934Z
14,419,42,131,50,3934214,16,2023-12-07T18:15:28.854695Z
15,403,43,396,85,3934214,15,2023-12-05T01:34:35.437410Z
16,591,53,108,69,3934214,15,2023-12-05T01:34:35.436977Z
17,308,131,526,76,3934214,15,2023-12-05T01:34:35.431334Z
18,220,51,5,48,3934214,12,2023-11-11T04:36:41.215171Z
19,526,76,504,79,3934214,12,2023-11-11T04:36:41.206911Z
20,343,71,119,59,3934214,9,2023-10-21T08:09:32.897233Z
21,36,51,195,55,3934214,9,2023-10-21T08:09:32.890089Z
22,504,78,143,65,3934214,5,2023-09-09T00:15:26.329298Z
23,216,72,353,76,3934214,4,2023-09-01T17:17:59.787220Z
24,119,62,60,80,3934214,4,2023-09-01T17:17:59.778422Z
25,108,67,226,64,3934214,3,2023-08-24T16:49:29.324169Z
26,353,76,504,75,3934214,3,2023-08-24T16:49:29.312475Z
