event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,79,79,865905,867374,865905,,5,1000,0,0,3
2,53,132,1979072,1979876,767181,,5,1004,0,0,6
3,48,180,3213752,3214209,860814,,47,1008,2,0,21
4,72,252,5300005,5301151,1192679,,39,1012,1,0,6
5,41,293,6379443,6380016,1534874,,14,1012,1,0,4
6,86,379,925121,925251,735115,,14,1012,0,0,8
7,47,426,5302007,5302366,1053397,,35,1013,2,0,9
8,42,468,5653858,5654168,1290413,,8,1013,1,0,6
9,73,541,3828778,3829055,1468516,,14,1013,1,0,4
10,64,605,5845029,5845379,1649546,,0,1012,0,0,8
11,26,631,7342681,7343577,1898263,,0,1018,0,0,2
12,91,722,253755,253945,976937,,15,1017,2,0,1
13,53,775,2274812,2275255,812524,,15,1023,0,0,1
14,63,838,2542355,2543159,721776,,2,1024,2,0,7
15,32,870,6309737,6310267,817160,,2,1025,0,0,0
16,58,928,1541503,1541972,604835,,13,1022,2,0,3
17,45,973,4990816,4990907,788127,,13,1025,0,0,6
18,38,1011,4664452,4664630,948572,,5,1023,2,0,8
19,19,1030,10230043,10230047,1540654,,3,1024,1,0,3
20,88,1114,763050,763298,1273562,,34,1022,2,4,9
21,49,1159,4641204,4641441,1476327,45.0,8,1021,2,4,3
22,65,1224,1474539,1475213,1273880,15.0,34,1021,1,0,3
23,98,1322,129692,129735,751430,5.0,34,1017,0,0,0
24,84,1406,766357,766833,559493,10.0,5,1019,2,0,0
25,82,1488,2940615,2940945,539379,30.0,39,1017,1,0,0
26,55,1539,3059956,3060471,572216,30.0,37,1018,2,4,0
27,71,1610,3207721,3208032,608818,35.0,37,1023,0,0,0
28,53,1663,2862992,2863413,597809,30.0,5,1021,2,0,8
29,19,1682,1992081,1993837,582942,20.0,5,1020,0,0,29
30,41,1723,7118715,7118761,756509,70.0,10,1018,1,0,17
31,63,1746,2324713,2324713,1227516,25.0,4,1014,11,40,2
32,64,1810,2725559,2726431,1186498,30.0,4,1020,0,0,12
33,86,1896,933401,933579,1004460,10.0,7,1023,1,0,6
34,110,2006,1066780,1066933,797235,10.0,1,1028,2,0,2
35,95,2101,23987,24253,531363,1.0,0,1023,0,0,13
36,115,2216,50917,51004,360192,1.0,0,1030,0,0,0
37,121,2337,1030520,1030701,343902,10.0,1,1039,1,0,21
38,74,2411,1455005,1455387,317529,15.0,2,1039,2,0,1
