,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,19,88,373,84,36757,38,2024-05-18T23:18:25.470390Z
1,236,57,412,62,36757,38,2024-05-18T23:18:25.465122Z
2,10,41,387,42,36757,37,2024-05-11T00:12:03.147790Z
3,373,84,19,87,36757,35,2024-04-26T14:22:30.827185Z
4,407,45,757,42,36757,35,2024-04-26T14:22:30.826939Z
5,506,58,203,43,36757,35,2024-04-26T14:22:30.826710Z
6,387,42,150,41,36757,35,2024-04-26T14:22:30.826446Z
7,263,47,409,42,36757,35,2024-04-26T14:22:30.826200Z
8,687,46,113,51,36757,35,2024-04-26T14:22:30.825880Z
9,412,61,303,76,36757,35,2024-04-20T21:01:34.830784Z
10,150,41,265,46,36757,35,2024-04-20T21:01:09.113093Z
11,211,68,232,50,36757,35,2024-04-20T21:01:09.112780Z
12,353,82,226,60,36757,35,2024-04-20T20:59:49.822846Z
13,516,99,308,134,36757,35,2024-04-20T20:59:49.822327Z
14,226,60,450,58,36757,34,2024-04-16T14:30:04.322181Z
15,232,50,279,46,36757,34,2024-04-16T14:30:04.316728Z
16,265,46,519,49,36757,33,2024-04-12T15:02:23.342683Z
17,409,42,687,46,36757,31,2024-04-02T16:43:13.343851Z
18,303,75,509,69,36757,31,2024-04-02T16:40:16.294736Z
19,687,46,409,42,36757,31,2024-04-02T16:40:16.294375Z
20,113,50,301,38,36757,31,2024-04-02T16:40:16.294002Z
21,279,47,85,71,36757,31,2024-04-02T16:40:16.293631Z
22,450,58,353,80,36757,31,2024-04-02T16:40:16.293248Z
23,415,77,60,88,36757,31,2024-04-02T16:40:16.292906Z
24,308,133,526,79,36757,31,2024-04-02T16:40:16.292523Z
25,203,43,342,51,36757,31,2024-04-02T16:40:16.292113Z
26,616,48,131,49,36757,31,2024-04-02T16:40:16.288761Z
27,301,38,28,38,36757,31,2024-04-02T00:24:37.113694Z
28,757,42,321,47,36757,30,2024-03-29T21:25:39.337728Z
29,36,46,342,51,36757,29,2024-03-16T11:43:06.118215Z
30,528,46,131,49,36757,29,2024-03-16T11:43:06.117975Z
31,279,45,85,71,36757,29,2024-03-16T11:43:06.117731Z
32,275,48,409,42,36757,29,2024-03-16T11:43:06.117486Z
33,101,45,28,39,36757,29,2024-03-16T11:43:06.117251Z
34,467,43,5,50,36757,29,2024-03-16T11:43:06.117015Z
35,34,57,509,69,36757,29,2024-03-16T11:43:06.116747Z
36,689,68,19,88,36757,29,2024-03-16T11:43:06.116490Z
37,504,80,362,55,36757,29,2024-03-16T11:43:06.116146Z
38,516,100,353,80,36757,29,2024-03-16T11:43:06.115791Z
39,117,82,355,143,36757,29,2024-03-16T11:34:34.181398Z
40,526,79,557,55,36757,28,2024-03-08T14:18:23.218684Z
41,321,47,419,39,36757,28,2024-03-08T14:17:33.533011Z
42,85,70,538,42,36757,26,2024-02-24T12:44:54.333350Z
43,557,56,294,82,36757,26,2024-02-24T00:31:25.999467Z
44,342,51,290,85,36757,25,2024-02-17T01:27:58.831458Z
45,355,143,343,68,36757,24,2024-02-10T01:42:43.979677Z
46,294,82,308,128,36757,24,2024-02-10T01:42:43.972507Z
47,509,70,516,96,36757,22,2024-01-30T03:45:44.263678Z
48,131,50,178,39,36757,21,2024-01-12T14:35:10.327069Z
49,353,79,143,64,36757,21,2024-01-12T14:33:01.738274Z
50,290,84,311,45,36757,20,2023-12-30T03:08:42.472758Z
51,343,69,355,139,36757,20,2023-12-30T03:07:54.222405Z
52,519,48,36,46,36757,19,2023-12-26T05:09:46.336401Z
53,409,42,145,46,36757,18,2023-12-21T14:26:08.332386Z
54,60,87,293,75,36757,18,2023-12-21T14:26:08.321479Z
55,362,54,108,69,36757,16,2023-12-08T23:30:27.424024Z
56,145,46,524,42,36757,16,2023-12-08T23:30:27.415614Z
57,516,96,526,75,36757,14,2023-12-01T23:00:20.252490Z
58,293,76,60,84,36757,14,2023-12-01T23:00:20.243764Z
59,419,41,407,46,36757,12,2023-11-11T01:51:49.445470Z
60,108,68,504,78,36757,12,2023-11-11T01:51:49.437839Z
61,526,74,362,49,36757,10,2023-10-27T17:17:24.505776Z
62,407,47,430,67,36757,10,2023-10-27T17:17:24.505384Z
63,5,47,20,51,36757,10,2023-10-27T16:43:25.107457Z
64,538,43,331,45,36757,10,2023-10-23T12:28:12.896669Z
65,362,49,516,94,36757,10,2023-10-23T12:28:12.896247Z
66,60,83,326,56,36757,10,2023-10-23T12:28:12.895820Z
67,308,127,373,84,36757,10,2023-10-23T12:28:12.895334Z
68,524,42,263,44,36757,10,2023-10-23T12:28:12.894880Z
69,178,39,405,47,36757,10,2023-10-23T12:28:12.894311Z
70,311,44,131,50,36757,9,2023-10-20T22:40:40.314316Z
71,516,94,108,67,36757,8,2023-10-07T05:44:10.748882Z
72,405,47,195,55,36757,7,2023-09-30T04:04:22.325258Z
73,326,56,211,69,36757,7,2023-09-30T04:01:24.491006Z
74,430,65,473,40,36757,5,2023-09-16T05:07:39.836173Z
75,504,77,509,69,36757,4,2023-09-01T00:33:29.754684Z
76,211,71,135,55,36757,3,2023-08-25T13:44:34.893711Z
77,108,67,308,125,36757,3,2023-08-25T13:41:19.691136Z
