event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,75,75,1648468,1726105,1648468,,0,1000,0,0,6
2,35,110,7080599,7100596,3881694,,0,1003,0,0,7
3,62,172,593005,601251,1591518,,27,1006,2,0,5
4,71,243,5690262,5728573,2053162,,24,1008,1,0,10
5,35,278,8386418,8420406,3091117,,24,1008,0,0,10
6,82,360,1650238,1661141,2066409,,8,1007,2,0,7
7,49,409,4677073,4699557,2173216,,15,1008,1,0,14
8,71,480,181704,185505,720635,,2,1008,0,0,6
9,92,572,655225,671541,380358,,2,1016,0,0,7
10,65,637,5702415,5723384,454808,,4,1018,1,0,2
11,48,685,580128,583620,169339,,11,1024,1,0,1
12,82,767,1008456,1021941,114213,,4,1026,1,0,15
13,48,815,4273854,4308490,121476,,1,1030,1,0,3
14,62,877,2855206,2874012,120423,,13,1028,2,0,0
15,33,910,6129430,6170187,139893,,19,1029,1,0,0
16,44,954,4235333,4257840,207000,,19,1032,0,0,3
17,63,1013,1113135,1117989,190957,,24,1031,3,4,8
18,52,1065,1399212,1422172,154142,,25,1035,1,0,3
19,34,1099,6568341,6612266,215139,,25,1038,0,0,3
20,87,1186,862564,871699,181864,,8,1035,2,0,8
21,48,1226,4956704,4962656,348802,50.0,89,1032,3,8,3
22,63,1289,1848783,1870086,297811,20.0,107,1034,1,0,6
23,59,1348,4802250,4815843,423061,50.0,41,1033,1,0,21
24,76,1424,1984350,2005196,373494,20.0,41,1038,0,0,9
25,98,1522,416891,422053,251985,5.0,38,1035,1,0,4
26,56,1578,2829788,2846500,245251,30.0,56,1037,2,0,1
27,82,1660,1089349,1109731,214567,15.0,51,1040,1,0,3
28,61,1721,1291309,1303669,185362,15.0,8,1042,1,0,9
29,20,1741,1648563,1741259,175727,20.0,8,1042,0,0,20
30,62,1803,1770674,1792637,167292,20.0,15,1041,1,0,14
31,45,1844,5518444,5526541,263286,55.0,2,1038,2,4,-1
32,60,1904,4165999,4188983,279037,40.0,5,1040,1,0,3
33,75,1979,2191876,2210061,269566,25.0,5,1042,0,0,3
34,76,2055,5379789,5387891,391952,50.0,0,1040,2,0,0
35,78,2133,576123,586096,328381,10.0,11,1031,0,0,5
36,54,2187,8922376,8939315,525583,90.0,11,1037,0,0,7
37,140,2323,190947,193874,407175,5.0,0,1039,3,4,0
38,62,2385,3346715,3367380,433580,35.0,11,1040,1,0,4
