event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,86,86,170883,171197,170883,,0,1000,0,0,3
2,64,150,429953,430150,54267,,0,1003,0,0,9
3,44,194,4483854,4484109,178912,,46,1009,2,0,4
4,73,267,4888836,4889828,317482,,34,1011,1,0,8
5,41,308,6173685,6174059,502493,,34,1011,0,0,2
6,82,390,1650238,1650518,331342,,14,1009,2,0,3
7,37,427,7926552,7926828,1001454,,21,1010,1,0,7
8,50,477,2918850,2919057,840782,,2,1006,0,0,9
9,88,565,1068592,1069419,543647,,2,1012,0,0,7
10,63,628,6351349,6351502,695387,,3,1015,1,0,4
11,25,653,7947705,7948413,879047,,22,1019,1,0,13
12,83,736,884508,884801,565508,,22,1021,1,0,6
13,44,780,5757960,5758231,670230,,22,1024,0,0,3
14,56,836,4955898,4956210,772121,,0,1021,2,0,14
15,36,872,4641019,4641881,761670,,0,1020,1,0,2
16,48,920,3383579,3383878,788381,,21,1020,1,0,7
17,57,977,2057001,2057252,701124,,21,1022,1,0,1
18,42,1019,3487221,3487462,767079,,22,1024,1,0,9
19,48,1067,1778344,1778766,635784,,29,1025,1,0,11
20,82,1149,1404131,1404461,581147,,25,1028,1,0,9
21,36,1185,8107297,8107311,922739,80.0,75,1027,1,0,3
22,63,1248,1848783,1849095,812416,20.0,52,1026,1,0,3
23,69,1317,2741933,2742090,824261,30.0,52,1027,0,0,3
24,77,1394,1898849,1899116,706103,20.0,6,1030,1,0,13
25,105,1499,128961,129021,427625,5.0,43,1029,2,0,7
26,50,1549,4112756,4112864,467046,40.0,43,1034,0,0,0
27,85,1634,739132,739351,383114,10.0,5,1037,2,0,17
28,58,1692,1770085,1770278,349611,20.0,14,1042,1,0,3
29,10,1698,6142069,6142120,438879,60.0,11,1040,2,4,0
30,51,1749,4296818,4296939,499710,45.0,48,1036,0,0,12
31,66,1815,1807252,1807435,454222,20.0,19,1038,1,0,1
32,63,1878,3009256,3009838,448128,30.0,19,1042,0,0,0
33,85,1963,1050243,1050369,364273,10.0,18,1042,2,0,0
34,129,2092,274233,274399,200477,5.0,18,1042,0,0,15
35,43,2131,7816655,7816660,337971,75.0,5,1040,2,4,2
36,94,2225,1214660,1214855,314438,15.0,8,1039,1,0,4
37,117,2330,1371357,1371377,373593,15.0,0,1039,4,12,0
38,50,2380,5863703,5863812,459557,55.0,27,1040,1,0,7
