,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,232,51,433,78,24297,38,2024-05-19T08:01:10.608819Z
1,433,78,343,64,24297,37,2024-05-11T00:42:55.817876Z
2,134,61,392,45,24297,37,2024-05-11T00:42:55.817495Z
3,349,105,308,133,24297,37,2024-05-11T00:42:55.817061Z
4,198,48,757,42,24297,37,2024-05-11T00:42:55.813566Z
5,5,54,427,57,24297,36,2024-05-03T15:20:57.578157Z
6,427,57,519,49,24297,35,2024-04-27T03:15:06.435743Z
7,409,43,301,38,24297,35,2024-04-27T03:15:06.429769Z
8,236,56,678,64,24297,34,2024-04-20T02:53:22.823735Z
9,85,72,355,141,24297,34,2024-04-20T02:49:50.526127Z
10,293,78,343,64,24297,34,2024-04-20T02:49:50.525891Z
11,267,53,516,97,24297,34,2024-04-20T02:49:50.525641Z
12,19,90,392,45,24297,34,2024-04-20T02:49:50.525406Z
13,226,61,362,60,24297,34,2024-04-20T02:49:50.525174Z
14,121,43,757,42,24297,34,2024-04-20T02:49:50.524943Z
15,220,47,545,47,24297,34,2024-04-20T02:49:50.524685Z
16,290,84,519,49,24297,34,2024-04-20T02:49:50.524450Z
17,29,60,203,42,24297,34,2024-04-20T02:49:50.524211Z
18,409,42,524,42,24297,34,2024-04-20T02:49:50.523959Z
19,263,47,301,38,24297,34,2024-04-20T02:49:50.523640Z
20,343,64,279,46,24297,33,2024-04-13T03:21:35.267018Z
21,678,64,353,81,24297,33,2024-04-13T03:21:35.262343Z
22,308,133,349,104,24297,31,2024-04-01T01:49:04.154601Z
23,279,46,117,82,24297,30,2024-03-30T06:22:04.035909Z
24,362,58,526,78,24297,30,2024-03-30T06:22:04.035509Z
25,392,46,504,80,24297,30,2024-03-30T06:22:04.035097Z
26,349,104,360,44,24297,30,2024-03-30T06:22:04.034694Z
27,203,42,532,44,24297,30,2024-03-30T06:22:04.034260Z
28,757,42,508,44,24297,30,2024-03-30T06:22:04.033817Z
29,545,46,321,46,24297,30,2024-03-30T06:22:04.033341Z
30,301,38,409,41,24297,30,2024-03-30T06:22:04.032705Z
31,117,82,85,70,24297,29,2024-03-16T06:42:00.267872Z
32,504,80,19,89,24297,29,2024-03-16T06:42:00.261917Z
33,532,44,369,53,24297,28,2024-03-09T05:44:18.881536Z
34,526,78,557,56,24297,27,2024-03-02T06:27:32.081262Z
35,516,96,294,80,24297,27,2024-02-29T00:56:23.107093Z
36,321,46,290,86,24297,25,2024-02-17T03:26:36.458430Z
37,508,44,203,41,24297,25,2024-02-17T03:26:36.452711Z
38,290,86,419,40,24297,24,2024-02-10T04:25:50.063612Z
39,294,79,34,56,24297,22,2024-01-30T16:51:27.904836Z
40,353,79,308,129,24297,21,2024-01-12T17:18:40.390395Z
41,369,53,220,49,24297,20,2023-12-30T03:48:07.874727Z
42,203,41,311,48,24297,19,2023-12-26T07:10:41.869288Z
43,85,68,343,69,24297,18,2023-12-21T17:18:45.233854Z
44,519,48,36,48,24297,17,2023-12-15T15:36:27.767373Z
45,557,57,12,78,24297,16,2023-12-09T05:59:51.755137Z
46,409,40,28,40,24297,15,2023-12-05T02:23:16.530810Z
47,19,88,526,75,24297,14,2023-12-02T06:06:36.864573Z
48,311,48,139,39,24297,14,2023-12-02T06:06:36.852704Z
49,12,78,504,78,24297,12,2023-11-11T04:34:07.038738Z
50,220,50,430,69,24297,11,2023-11-04T06:10:15.947778Z
51,526,74,353,75,24297,10,2023-10-27T16:55:34.072700Z
52,34,55,516,94,24297,8,2023-10-07T06:36:41.971459Z
53,360,44,373,84,24297,8,2023-10-07T06:36:41.971231Z
54,308,126,108,67,24297,8,2023-10-07T06:36:41.971002Z
55,419,39,473,39,24297,8,2023-10-07T06:36:41.970747Z
56,430,68,377,49,24297,8,2023-10-07T06:36:41.970416Z
57,60,80,135,53,24297,8,2023-10-07T00:28:19.673770Z
58,516,94,19,85,24297,8,2023-10-07T00:28:19.673510Z
59,36,49,405,46,24297,8,2023-10-07T00:28:19.673169Z
60,139,39,131,51,24297,8,2023-10-07T00:28:19.672913Z
61,524,42,597,49,24297,8,2023-10-07T00:28:19.672583Z
62,377,49,195,56,24297,7,2023-09-30T01:29:43.459563Z
63,343,69,324,45,24297,6,2023-09-22T06:14:33.970505Z
64,405,46,341,50,24297,6,2023-09-22T06:14:33.961438Z
65,504,77,143,65,24297,4,2023-09-01T00:00:01.404086Z
66,195,57,36,45,24297,3,2023-08-25T16:38:52.425611Z
67,108,67,308,125,24297,3,2023-08-25T15:44:21.655423Z
