event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,61,61,5105387,5124906,5105388,,0,1000,0,0,6
2,57,118,1214821,1223753,2591441,,0,1001,0,0,2
3,37,155,6792107,6800474,3632598,,4,1003,1,0,3
4,93,248,354385,356518,1522834,,4,1001,0,0,0
5,46,294,4308341,4314550,1422176,,7,998,2,0,2
6,74,368,3257813,3267276,1398311,,7,998,0,0,-3
7,55,423,3058469,3065559,1198631,,7,1000,0,0,2
8,33,456,8417755,8424226,2021748,,7,999,0,0,0
9,56,512,7442598,7448669,3149387,,7,996,0,0,0
10,62,574,6487098,6497955,3468014,,7,995,0,0,0
11,40,614,1750673,1759496,2908171,,7,992,0,0,0
12,57,671,7240296,7246831,3482895,,7,992,0,0,0
13,43,714,6188845,6202775,3695634,,7,994,0,0,0
14,55,769,5037002,5048984,3760806,,7,993,0,0,0
15,24,793,9438693,9447073,4358484,,7,991,0,0,0
16,20,813,9028642,9034489,5274668,,7,989,0,0,0
17,25,838,9576322,9580536,5931117,,7,988,0,0,0
18,24,862,8505182,8512072,6247341,,7,987,0,0,0
19,36,898,5774144,5790975,6266570,,7,985,0,0,0
20,28,926,9956101,9958529,6890836,,7,984,0,0,0
21,39,965,7167940,7175834,6962557,70.0,7,983,0,0,0
22,42,1007,7004043,7014066,6993366,70.0,7,984,0,0,6
23,45,1052,7519652,7527014,7090287,75.0,7,986,0,0,0
24,60,1112,6107433,6117305,7131069,60.0,7,989,0,0,2
25,59,1171,8958180,8964528,7334545,90.0,7,990,0,0,0
26,26,1197,9706570,9711195,7555081,95.0,7,990,0,0,0
27,52,1249,8172096,8179909,7617852,80.0,7,992,0,0,-1
28,34,1283,8180287,8189687,7712469,80.0,7,990,0,0,0
29,3,1286,9489116,9502846,7776275,90.0,7,988,0,0,0
30,27,1313,9787091,9792232,7936300,95.0,7,988,0,0,1
31,38,1351,6753487,6761405,7899969,65.0,7,988,0,0,0
32,36,1387,10203775,10206383,8074175,95.0,7,986,0,0,0
33,43,1430,8229473,8235963,8139274,80.0,7,987,0,0,0
34,70,1500,6242563,6248333,8042935,60.0,7,986,0,0,0
35,22,1522,10639483,10641048,8268335,100.0,7,985,0,0,0
36,53,1575,9058909,9064466,8417436,90.0,7,985,0,0,0
37,60,1635,8800963,8806584,8483709,90.0,7,985,0,0,0
38,45,1680,6766489,6775286,8455976,65.0,7,985,0,0,0
