event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,82,82,464286,473526,464286,,0,1000,0,0,8
2,62,144,628706,630951,161814,,5,1003,1,0,10
3,58,202,936791,938242,52665,,5,1008,0,0,6
4,71,273,5690262,5697353,152761,,4,1011,1,0,6
5,66,339,123926,124041,16696,,7,1009,2,0,12
6,79,418,2190098,2193810,19164,,7,1013,1,0,3
7,50,468,4281811,4284444,53834,,7,1018,0,0,7
8,47,515,4022109,4024893,69201,,7,1015,2,0,3
9,83,598,1797054,1801834,75883,,7,1014,0,0,4
10,84,682,812121,813204,24152,,0,1015,2,0,5
11,17,699,9800173,9802350,67260,,0,1021,0,0,9
12,92,791,205888,207071,22611,,11,1025,2,0,13
13,53,844,2448282,2453424,17691,,24,1028,1,0,2
14,44,888,8460685,8462707,62565,,24,1029,0,0,9
15,38,926,3830622,3833566,55499,,0,1029,2,0,2
16,39,965,5573987,5576375,121661,,26,1030,1,0,3
17,53,1018,2852998,2855087,151341,,26,1031,0,0,4
18,38,1056,4431418,4434728,222735,,26,1030,0,0,1
19,41,1097,3782952,3788163,231164,,0,1021,0,0,18
20,83,1180,1228512,1230925,223894,,0,1021,0,0,25
21,42,1222,6574103,6575765,385206,65.0,67,1022,2,0,9
22,38,1260,7935570,7938072,625336,80.0,67,1022,0,0,8
23,93,1353,306869,307329,367767,5.0,28,1019,2,0,21
24,67,1420,4182145,4185488,406985,40.0,28,1021,0,0,9
25,86,1506,2035448,2038582,366414,20.0,1,1020,2,0,3
26,53,1559,3487083,3490286,378412,35.0,33,1021,1,0,2
27,68,1627,4137122,4140702,440807,40.0,0,1024,1,0,16
28,33,1660,8437931,8440514,624209,80.0,0,1024,0,0,6
29,20,1680,1648563,1665783,599111,20.0,0,1020,0,0,13
30,49,1729,4817566,4821188,687622,45.0,1,1019,0,0,9
31,76,1805,720103,721326,535623,10.0,1,1022,0,0,0
32,71,1876,1322489,1325253,462505,15.0,0,1022,1,0,3
33,88,1964,767553,769002,356376,10.0,0,1026,1,0,12
34,96,2060,2365306,2366820,358449,25.0,2,1028,2,0,0
35,58,2118,3823716,3825708,412037,40.0,31,1026,1,0,6
36,71,2189,5785897,5787426,510563,55.0,20,1028,1,0,1
37,102,2291,2657197,2658247,586724,25.0,5,1026,1,0,16
38,53,2340,5253617,5254481,707106,50.0,10,1024,2,4,0
