,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,516,100,349,105,364859,38,2024-05-19T11:19:20.986568Z
1,361,36,301,36,364859,38,2024-05-19T11:19:20.980757Z
2,369,55,150,40,364859,37,2024-05-11T01:46:29.032427Z
3,415,83,85,72,364859,36,2024-05-02T00:36:09.368875Z
4,349,104,308,133,364859,35,2024-04-27T03:42:29.269263Z
5,85,72,60,89,364859,34,2024-04-20T03:29:44.322907Z
6,29,60,283,45,364859,34,2024-04-20T03:29:44.313938Z
7,373,82,353,82,364859,33,2024-04-13T01:23:42.172829Z
8,409,42,524,41,364859,32,2024-04-05T22:21:22.439400Z
9,279,46,33,42,364859,30,2024-03-18T19:34:34.696391Z
10,353,81,412,61,364859,30,2024-03-18T19:34:34.696154Z
11,362,57,349,105,364859,30,2024-03-18T19:34:34.695909Z
12,308,130,43,56,364859,30,2024-03-18T19:34:34.695676Z
13,283,45,430,67,364859,30,2024-03-18T19:34:34.695439Z
14,203,42,20,54,364859,30,2024-03-18T19:34:34.695184Z
15,301,38,352,55,364859,30,2024-03-18T19:34:34.694863Z
16,34,57,256,53,364859,29,2024-03-16T02:32:59.450534Z
17,528,46,519,49,364859,29,2024-03-11T23:50:12.684909Z
18,511,50,150,40,364859,29,2024-03-11T23:50:12.683456Z
19,326,52,355,144,364859,29,2024-03-11T23:47:13.757027Z
20,117,81,33,42,364859,29,2024-03-11T23:47:13.756555Z
21,256,53,412,61,364859,29,2024-03-11T23:47:13.756127Z
22,526,79,382,49,364859,29,2024-03-11T23:47:13.755681Z
23,516,99,349,105,364859,29,2024-03-11T23:47:13.755216Z
24,504,79,19,88,364859,29,2024-03-11T23:47:13.754766Z
25,321,47,430,67,364859,29,2024-03-11T23:47:13.754323Z
26,696,45,313,63,364859,29,2024-03-11T23:47:13.754020Z
27,519,49,20,54,364859,29,2024-03-11T23:47:13.753705Z
28,96,45,5,52,364859,29,2024-03-11T23:47:13.753248Z
29,101,45,352,55,364859,29,2024-03-11T23:47:13.752716Z
30,60,89,590,56,364859,27,2024-02-28T13:08:16.364776Z
31,5,52,290,84,364859,26,2024-02-24T00:10:15.654652Z
32,355,144,60,87,364859,25,2024-02-13T18:42:27.867170Z
33,382,49,353,79,364859,25,2024-02-13T18:42:27.859986Z
34,349,107,526,81,364859,23,2024-02-02T20:14:34.126530Z
35,430,67,369,54,364859,23,2024-02-02T20:14:34.120626Z
36,526,81,516,98,364859,21,2024-01-04T12:07:30.651127Z
37,353,78,308,128,364859,21,2024-01-04T12:07:30.642112Z
38,590,58,355,139,364859,19,2023-12-25T23:50:03.830914Z
39,60,88,343,67,364859,19,2023-12-25T23:50:03.830531Z
40,412,62,599,65,364859,19,2023-12-25T23:50:03.830282Z
41,516,98,362,54,364859,19,2023-12-25T23:50:03.830017Z
42,43,55,216,70,364859,19,2023-12-25T23:50:03.829699Z
43,150,40,419,41,364859,19,2023-12-25T23:50:03.829342Z
44,369,53,311,46,364859,19,2023-12-25T23:50:03.829039Z
45,313,62,283,44,364859,19,2023-12-25T23:50:03.828558Z
46,290,83,36,47,364859,19,2023-12-25T23:50:03.828255Z
47,216,70,516,96,364859,16,2023-12-08T21:58:56.919754Z
48,516,96,526,75,364859,15,2023-12-05T11:27:56.825630Z
49,283,44,203,41,364859,15,2023-12-05T11:27:56.816717Z
50,362,52,143,65,364859,13,2023-11-24T01:21:20.643992Z
51,33,45,287,47,364859,12,2023-11-10T23:14:20.416674Z
52,419,40,511,49,364859,12,2023-11-10T23:14:20.410087Z
53,526,74,108,67,364859,10,2023-10-24T11:59:59.808488Z
54,311,45,197,45,364859,10,2023-10-24T11:59:59.799473Z
55,511,48,405,46,364859,8,2023-10-06T00:12:05.310985Z
56,36,49,131,51,364859,8,2023-10-06T00:12:05.304043Z
57,405,45,103,45,364859,6,2023-09-19T16:21:30.428747Z
58,343,67,135,54,364859,5,2023-09-14T23:23:18.631427Z
59,108,68,373,84,364859,5,2023-09-14T23:23:18.621496Z
60,203,41,160,40,364859,4,2023-09-01T16:42:16.939847Z
61,197,45,5,50,364859,2,2023-08-15T12:08:40.282050Z
