id,first_name,second_name
1,Folarin,Balogun
2,Cédric,Alves Soares
3,Mohamed,Elneny
4,Fábio,Ferreira Vieira
5,Gabriel,dos Santos Magalhães
6,Kai,Havertz
8,Gabriel,Fernando de Jesus
9,Jorge Luiz,Frello Filho
10,Jakub,Kiwior
11,Marcus,Oliveira Alencar
12,Gabriel,Martinelli Silva
13,Eddie,Nketiah
14,Martin,Ødegaard
15,Thomas,Partey
16,Nicolas,Pépé
17,Aaron,Ramsdale
18,Rúnar Alex,Rúnarsson
19,Bukayo,Saka
20,William,Saliba
22,Emile,Smith Rowe
24,Kieran,Tierney
25,Takehiro,Tomiyasu
26,Leandro,Trossard
29,Benjamin,White
30,Granit,Xhaka
31,Oleksandr,Zinchenko
113,David,Raya Martin
540,Declan,Rice
578,Reiss,Nelson
585,Jurriën,Timber
646,Karl,Hein
735,Charles,Sagoe
736,Reuell,Walters
737,Bradley,Ibrahim
764,Myles,Lewis-Skelly
772,Ethan,Nwaneri
815,Mauro,Bandeira
817,James,Sweet
32,Alexandre,Moreno Lopera
34,Leon,Bailey
35,Emiliano,Buendía Stati
36,Matty,Cash
37,Calum,Chambers
38,Philippe,Coutinho Correia
39,Keinan,Davis
40,Leander,Dendoncker
41,Diego Carlos,Santos Silva
42,Lucas,Digne
43,Douglas Luiz,Soares de Paulo
44,Jhon,Durán
45,Kortney,Hause
46,Tim,Iroegbunam
47,Boubacar,Kamara
48,Ezri,Konsa Ngoyo
49,Emiliano,Martínez Romero
50,John,McGinn
51,Tyrone,Mings
53,Robin,Olsen
54,Jaden,Philogene-Bidace
55,Jacob,Ramsey
56,Morgan,Sanson
57,Viljami,Sinisalo
58,Youri,Tielemans
59,Bertrand,Traoré
60,Ollie,Watkins
61,Wesley,Moraes Ferreira da Silva
584,Pau,Torres
599,Moussa,Diaby
618,Omari,Kellyman
670,Filip,Marschall
672,Nicolò,Zaniolo
686,Oliwier,Zych
699,Clément,Lenglet
765,Sam,Proctor
767,Tommi,O'Reilly
778,James,Wright
